VK_FORMAT_UNDEFINED  : 0 : The format is not specified. 
VK_FORMAT_R4G4_UNORM_PACK8  : 1 : A two-component, 8-bit packed unsigned normalized format that has a 4-bit R component in bits 4..7, and a 4-bit G component in bits 0..3. 
VK_FORMAT_R4G4B4A4_UNORM_PACK16  : 2 : A four-component, 16-bit packed unsigned normalized format that has a 4-bit R component in bits 12..15, a 4-bit G component in bits 8..11, a 4-bit B component in bits 4..7, and a 4-bit A component in bits 0..3. 
VK_FORMAT_B4G4R4A4_UNORM_PACK16  : 3 : A four-component, 16-bit packed unsigned normalized format that has a 4-bit B component in bits 12..15, a 4-bit G component in bits 8..11, a 4-bit R component in bits 4..7, and a 4-bit A component in bits 0..3. 
VK_FORMAT_R5G6B5_UNORM_PACK16  : 4 : A three-component, 16-bit packed unsigned normalized format that has a 5-bit R component in bits 11..15, a 6-bit G component in bits 5..10, and a 5-bit B component in bits 0..4. 
VK_FORMAT_B5G6R5_UNORM_PACK16  : 5 : A three-component, 16-bit packed unsigned normalized format that has a 5-bit B component in bits 11..15, a 6-bit G component in bits 5..10, and a 5-bit R component in bits 0..4. 
VK_FORMAT_R5G5B5A1_UNORM_PACK16  : 6 : A four-component, 16-bit packed unsigned normalized format that has a 5-bit R component in bits 11..15, a 5-bit G component in bits 6..10, a 5-bit B component in bits 1..5, and a 1-bit A component in bit 0. 
VK_FORMAT_B5G5R5A1_UNORM_PACK16  : 7 : A four-component, 16-bit packed unsigned normalized format that has a 5-bit B component in bits 11..15, a 5-bit G component in bits 6..10, a 5-bit R component in bits 1..5, and a 1-bit A component in bit 0. 
VK_FORMAT_A1R5G5B5_UNORM_PACK16  : 8 : A four-component, 16-bit packed unsigned normalized format that has a 1-bit A component in bit 15, a 5-bit R component in bits 10..14, a 5-bit G component in bits 5..9, and a 5-bit B component in bits 0..4. 
VK_FORMAT_R8_UNORM  : 9 : A one-component, 8-bit unsigned normalized format that has a single 8-bit R component. 
VK_FORMAT_R8_SNORM  : 10 : A one-component, 8-bit signed normalized format that has a single 8-bit R component. 
VK_FORMAT_R8_USCALED  : 11 : A one-component, 8-bit unsigned scaled integer format that has a single 8-bit R component. 
VK_FORMAT_R8_SSCALED  : 12 : A one-component, 8-bit signed scaled integer format that has a single 8-bit R component. 
VK_FORMAT_R8_UINT  : 13 : A one-component, 8-bit unsigned integer format that has a single 8-bit R component. 
VK_FORMAT_R8_SINT  : 14 : A one-component, 8-bit signed integer format that has a single 8-bit R component. 
VK_FORMAT_R8_SRGB  : 15 : A one-component, 8-bit unsigned normalized format that has a single 8-bit R component stored with sRGB nonlinear encoding. 
VK_FORMAT_R8G8_UNORM  : 16 : A two-component, 16-bit unsigned normalized format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_SNORM  : 17 : A two-component, 16-bit signed normalized format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_USCALED  : 18 : A two-component, 16-bit unsigned scaled integer format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_SSCALED  : 19 : A two-component, 16-bit signed scaled integer format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_UINT  : 20 : A two-component, 16-bit unsigned integer format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_SINT  : 21 : A two-component, 16-bit signed integer format that has an 8-bit R component in byte 0, and an 8-bit G component in byte 1. 
VK_FORMAT_R8G8_SRGB  : 22 : A two-component, 16-bit unsigned normalized format that has an 8-bit R component stored with sRGB nonlinear encoding in byte 0, and an 8-bit G component stored with sRGB nonlinear encoding in byte 1. 
VK_FORMAT_R8G8B8_UNORM  : 23 : A three-component, 24-bit unsigned normalized format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_SNORM  : 24 : A three-component, 24-bit signed normalized format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_USCALED  : 25 : A three-component, 24-bit unsigned scaled format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_SSCALED  : 26 : A three-component, 24-bit signed scaled format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_UINT  : 27 : A three-component, 24-bit unsigned integer format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_SINT  : 28 : A three-component, 24-bit signed integer format that has an 8-bit R component in byte 0, an 8-bit G component in byte 1, and an 8-bit B component in byte 2. 
VK_FORMAT_R8G8B8_SRGB  : 29 : A three-component, 24-bit unsigned normalized format that has an 8-bit R component stored with sRGB nonlinear encoding in byte 0, an 8-bit G component stored with sRGB nonlinear encoding in byte 1, and an 8-bit B component stored with sRGB nonlinear encoding in byte 2. 
VK_FORMAT_B8G8R8_UNORM  : 30 : A three-component, 24-bit unsigned normalized format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
VK_FORMAT_B8G8R8_SNORM  : 31 : A three-component, 24-bit signed normalized format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
VK_FORMAT_B8G8R8_USCALED  : 32 : A three-component, 24-bit unsigned scaled format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
VK_FORMAT_B8G8R8_SSCALED  : 33 : A three-component, 24-bit signed scaled format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
VK_FORMAT_B8G8R8_UINT  : 34 : A three-component, 24-bit unsigned integer format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
VK_FORMAT_B8G8R8_SINT  : 35 : A three-component, 24-bit signed integer format that has an 8-bit B component in byte 0, an 8-bit G component in byte 1, and an 8-bit R component in byte 2. 
